"Data Import Template"
"Table:","Website Group"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Website Group","","","","","","","","","",""
"Column Labels:","ID","Group Name","Group Title","Group Type","Parent Website Page","Group Description","Page Name","Anyone Can Read","Anyone Can Write","Upvotes","Replies"
"Column Name:","name","group_name","group_title","group_type","parent_website_route","group_description","page_name","public_read","public_write","upvotes","replies"
"Mandatory:","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No"
"Type:","Data (text)","Data","Data","Select","Link","Text","Data","Check","Check","Int","Int"
"Info:","","","","One of: Forum, Tasks, Events","Valid Website Route","","","0 or 1","0 or 1","Integer","Integer"
"Start entering data below this line"
"","""app-development""","app-development","App Development","Forum","community","Questions about creating Apps on ERPNext","app-development",1,1,"",""
"","""installation""","install","Installation","Forum","community","Questions about Installation and Setup","installation",1,1,"",""
"","""erpnext""","erpnext","ERPNext","Forum","community","Questions about using ERPNext","erpnext",1,1,"",""
"","""partners""","partners","Partners","Forum","community","Questions about becoming an ERPNext Partner","partners",1,1,"",""
"","""general""","general","General","Forum","community","General Questions about Frappe.io","general",1,1,"",""
"","""inventory""","Inventory","Inventory","Forum","community/erpnext","Questions about Stock and Inventory","inventory",1,1,"",""
"","""erpnext-setup""","ERPNext Setup","ERPNext Setup","Forum","community/erpnext","Questions about Setting up and Implementing ERPNext","erpnext-setup",1,1,"",""
"","""accounts""","Accounts","Accounts","Forum","community/erpnext","Questions about Accounting","accounts",1,1,"",""
